"region","scientific_name","common_name","redlist_status","habitat","url"
"North-East Pacific","Leptoseris cailleti","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20cailleti"
"North-West Pacific","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"East Asian Seas","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"Eastern Africa","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"South Asian Seas","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"Pacific","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"Red Sea and Gulf of Aden","Leptoseris explanata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20explanata"
"Red Sea and Gulf of Aden","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"East Asian Seas","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"Eastern Africa","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"ROPME Area","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"South Asian Seas","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"Pacific","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"North-West Pacific","Leptoseris foliosa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20foliosa"
"South Asian Seas","Leptoseris gardineri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20gardineri"
"East Asian Seas","Leptoseris gardineri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20gardineri"
"North-West Pacific","Leptoseris gardineri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20gardineri"
"Pacific","Leptoseris gardineri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20gardineri"
"South Asian Seas","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"Red Sea and Gulf of Aden","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"South-East Pacific","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"North-East Pacific","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"North-West Pacific","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"Pacific","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"Eastern Africa","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"East Asian Seas","Leptoseris hawaiiensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20hawaiiensis"
"North-West Pacific","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"Pacific","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"Eastern Africa","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"South Asian Seas","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"Red Sea and Gulf of Aden","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"East Asian Seas","Leptoseris incrustans","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20incrustans"
"Pacific","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"South-East Pacific","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"North-West Pacific","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"Eastern Africa","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"ROPME Area","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"East Asian Seas","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"South Asian Seas","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"Red Sea and Gulf of Aden","Leptoseris mycetoseroides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20mycetoseroides"
"Pacific","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"East Asian Seas","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"South Asian Seas","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"South-East Pacific","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"North-West Pacific","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"North-East Pacific","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"Eastern Africa","Leptoseris papyracea","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20papyracea"
"Red Sea and Gulf of Aden","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"North-West Pacific","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"North-East Pacific","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"South-East Pacific","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"Eastern Africa","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"Pacific","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"East Asian Seas","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"South Asian Seas","Leptoseris scabra","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20scabra"
"Pacific","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"North-West Pacific","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"East Asian Seas","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"South-East Pacific","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"ROPME Area","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"South Asian Seas","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"Eastern Africa","Leptoseris solida","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20solida"
"East Asian Seas","Leptoseris striata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20striata"
"Pacific","Leptoseris striata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20striata"
"Pacific","Leptoseris tubulifera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20tubulifera"
"East Asian Seas","Leptoseris tubulifera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20tubulifera"
"North-West Pacific","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"Red Sea and Gulf of Aden","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"East Asian Seas","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"South Asian Seas","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"Eastern Africa","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"Pacific","Leptoseris yabei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Leptoseris%20yabei"
"Mediterranean","Limonium legrandii","Limonium de Legrand","EN","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Limonium%20legrandii"
"Mediterranean","Limonium palmyrense","","VU","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Limonium%20palmyrense"
"East Asian Seas","Lithophyllon mokai","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20mokai"
"South Asian Seas","Lithophyllon mokai","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20mokai"
"Pacific","Lithophyllon mokai","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20mokai"
"North-West Pacific","Lithophyllon mokai","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20mokai"
"East Asian Seas","Lithophyllon ranjithi","","EN","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20ranjithi"
"North-West Pacific","Lithophyllon undulatum","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20undulatum"
"Pacific","Lithophyllon undulatum","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20undulatum"
"East Asian Seas","Lithophyllon undulatum","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lithophyllon%20undulatum"
"South Asian Seas","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"North-West Pacific","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"East Asian Seas","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"Red Sea and Gulf of Aden","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"Pacific","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"Eastern Africa","Lobophyllia corymbosa","Brain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20corymbosa"
"East Asian Seas","Lobophyllia dentatus","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20dentatus"
"Pacific","Lobophyllia dentatus","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20dentatus"
"Pacific","Lobophyllia diminuta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20diminuta"
"East Asian Seas","Lobophyllia diminuta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20diminuta"
"South Asian Seas","Lobophyllia diminuta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20diminuta"
"North-West Pacific","Lobophyllia flabelliformis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20flabelliformis"
"East Asian Seas","Lobophyllia flabelliformis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20flabelliformis"
"Pacific","Lobophyllia flabelliformis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20flabelliformis"
"North-West Pacific","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"Pacific","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"Red Sea and Gulf of Aden","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"South Asian Seas","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"Eastern Africa","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"East Asian Seas","Lobophyllia hataii","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hataii"
"South Asian Seas","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"East Asian Seas","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"Red Sea and Gulf of Aden","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"South-East Pacific","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"Pacific","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"Eastern Africa","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"North-West Pacific","Lobophyllia hemprichii","Largebrain Root Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20hemprichii"
"Pacific","Lobophyllia pachysepta","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20pachysepta"
"North-West Pacific","Lobophyllia pachysepta","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20pachysepta"
"East Asian Seas","Lobophyllia pachysepta","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20pachysepta"
"South Asian Seas","Lobophyllia pachysepta","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20pachysepta"
"Eastern Africa","Lobophyllia robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20robusta"
"North-West Pacific","Lobophyllia robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20robusta"
"East Asian Seas","Lobophyllia robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20robusta"
"Pacific","Lobophyllia robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20robusta"
"Red Sea and Gulf of Aden","Lobophyllia robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Lobophyllia%20robusta"
